sample,datetime,wtemp_a_1,ltemp_a_2,wtrhgt__3,batt_mi_4
1,7/26/2017 15:45,11.5,16.5,16,3.55
2,7/26/2017 16:00,11.5,16.1,16,3.55
3,7/26/2017 16:15,11.5,15.8,16,3.55
4,7/26/2017 16:30,11.5,15.5,20,3.55
5,7/26/2017 16:45,11.5,14.8,22,3.55
6,7/26/2017 17:00,11.5,14.5,23,3.55
7,7/26/2017 17:15,11.5,14.8,23,3.55
8,7/26/2017 17:30,11.5,14.8,23,3.55
9,7/26/2017 17:45,11.5,14.8,23,3.55
10,7/26/2017 18:00,11.5,14.8,23,3.55
11,7/26/2017 18:15,11.5,14.8,24,3.55
12,7/26/2017 18:30,11.5,14.8,25,3.55
13,7/26/2017 18:45,11.5,14.5,26,3.55
14,7/26/2017 19:00,11.5,14.5,26,3.55
15,7/26/2017 19:15,11.5,14.8,26,3.55
16,7/26/2017 19:30,11.5,14.8,26,3.55
17,7/26/2017 19:45,11.5,14.8,26,3.55
18,7/26/2017 20:00,11.5,14.8,25,3.55
19,7/26/2017 20:15,11.2,14.5,25,3.55
20,7/26/2017 20:30,11.2,14.1,24,3.55
21,7/26/2017 20:45,11.2,14.1,24,3.55
22,7/26/2017 21:00,11.2,14.1,24,3.55
23,7/26/2017 21:15,11.2,14.1,23,3.55
24,7/26/2017 21:30,11.2,14.1,23,3.55
25,7/26/2017 21:45,11.2,14.1,23,3.55
26,7/26/2017 22:00,11.2,14.1,22,3.55
27,7/26/2017 22:15,11.2,14.1,22,3.55
28,7/26/2017 22:30,11.2,14.1,22,3.55
29,7/26/2017 22:45,11.2,13.8,22,3.55
30,7/26/2017 23:00,11.2,13.8,21,3.55
31,7/26/2017 23:15,11.2,13.8,21,3.55
32,7/26/2017 23:30,10.8,13.8,21,3.55
33,7/26/2017 23:45,10.8,13.8,21,3.55
34,7/27/2017 0:00,10.8,13.5,20,3.55
35,7/27/2017 0:15,10.8,13.1,20,3.55
36,7/27/2017 0:30,10.8,12.8,20,3.55
37,7/27/2017 0:45,10.8,12.8,20,3.55
38,7/27/2017 1:00,10.8,12.5,20,3.55
39,7/27/2017 1:15,10.8,12.1,20,3.55
40,7/27/2017 1:30,10.8,12.1,20,3.55
41,7/27/2017 1:45,10.8,12.1,20,3.55
42,7/27/2017 2:00,10.8,12.1,20,3.55
43,7/27/2017 2:15,10.8,11.8,19,3.55
44,7/27/2017 2:30,10.5,11.8,19,3.55
45,7/27/2017 2:45,10.5,11.5,19,3.55
46,7/27/2017 3:00,10.5,11.5,19,3.55
47,7/27/2017 3:15,10.5,11.2,19,3.55
48,7/27/2017 3:30,10.5,10.8,19,3.55
49,7/27/2017 3:45,10.5,10.8,19,3.55
50,7/27/2017 4:00,10.5,10.5,19,3.55
51,7/27/2017 4:15,10.5,10.5,19,3.55
52,7/27/2017 4:30,10.5,10.5,19,3.55
53,7/27/2017 4:45,10.2,10.2,19,3.55
54,7/27/2017 5:00,10.2,10.2,19,3.55
55,7/27/2017 5:15,10.2,10.2,18,3.55
56,7/27/2017 5:30,10.2,10.2,18,3.55
57,7/27/2017 5:45,10.2,10.2,18,3.55
58,7/27/2017 6:00,10.2,10.2,18,3.55
59,7/27/2017 6:15,10.2,10.2,18,3.55
60,7/27/2017 6:30,10.2,10.2,18,3.55
61,7/27/2017 6:45,10.2,10.2,18,3.55
62,7/27/2017 7:00,10.2,10.2,18,3.55
63,7/27/2017 7:15,10.2,10.2,18,3.55
64,7/27/2017 7:30,10.2,10.2,18,3.55
65,7/27/2017 7:45,10.2,10.5,18,3.55
66,7/27/2017 8:00,10.2,10.8,18,3.55
67,7/27/2017 8:15,10.5,11.5,18,3.55
68,7/27/2017 8:30,10.5,12.5,18,3.55
69,7/27/2017 8:45,10.5,12.8,18,3.55
70,7/27/2017 9:00,10.5,13.1,18,3.55
71,7/27/2017 9:15,10.8,13.5,18,3.55
72,7/27/2017 9:30,10.8,14.1,18,3.55
73,7/27/2017 9:45,10.8,15.1,18,3.55
74,7/27/2017 10:00,11.2,16.1,18,3.55
75,7/27/2017 10:15,11.2,17.1,18,3.55
76,7/27/2017 10:30,11.5,17.8,18,3.55
77,7/27/2017 10:45,11.8,18.5,18,3.55
78,7/27/2017 11:00,11.8,19.5,18,3.55
79,7/27/2017 11:15,11.8,20.2,18,3.55
80,7/27/2017 11:30,12.1,20.6,18,3.55
81,7/27/2017 11:45,12.1,21.3,18,3.59
82,7/27/2017 12:00,12.1,21.3,18,3.55
83,7/27/2017 12:15,12.1,20.6,17,3.55
84,7/27/2017 12:30,12.1,20.6,17,3.55
85,7/27/2017 12:45,12.5,20.9,17,3.59
86,7/27/2017 13:00,12.5,21.3,17,3.59
87,7/27/2017 13:15,12.8,22,17,3.59
88,7/27/2017 13:30,12.8,22.3,16,3.59
89,7/27/2017 13:45,12.8,22.3,16,3.59
90,7/27/2017 14:00,12.8,22.3,16,3.59
91,7/27/2017 14:15,12.8,22.7,16,3.59
92,7/27/2017 14:30,12.8,23.1,15,3.59
93,7/27/2017 14:45,12.8,23.4,15,3.59
94,7/27/2017 15:00,12.8,23.1,15,3.59
95,7/27/2017 15:15,12.5,22.7,15,3.59
96,7/27/2017 15:30,12.5,22.3,15,3.59
97,7/27/2017 15:45,12.5,22.3,15,3.59
98,7/27/2017 16:00,12.5,22,15,3.59
99,7/27/2017 16:15,12.5,21.3,14,3.59
100,7/27/2017 16:30,12.1,20.9,14,3.59
101,7/27/2017 16:45,12.1,20.6,14,3.59
102,7/27/2017 17:00,12.1,20.2,14,3.55
103,7/27/2017 17:15,12.1,19.9,14,3.55
104,7/27/2017 17:30,11.8,19.5,14,3.55
105,7/27/2017 17:45,11.8,19.2,14,3.55
106,7/27/2017 18:00,11.8,18.5,13,3.55
107,7/27/2017 18:15,11.8,18.2,14,3.55
108,7/27/2017 18:30,11.8,18.2,14,3.55
109,7/27/2017 18:45,11.8,17.8,14,3.55
110,7/27/2017 19:00,11.8,17.8,14,3.55
111,7/27/2017 19:15,11.8,17.8,14,3.55
112,7/27/2017 19:30,11.5,17.5,14,3.55
113,7/27/2017 19:45,11.5,16.8,14,3.55
114,7/27/2017 20:00,11.5,16.1,14,3.55
115,7/27/2017 20:15,11.5,15.5,14,3.55
116,7/27/2017 20:30,11.5,15.1,14,3.55
117,7/27/2017 20:45,11.2,14.8,14,3.55
118,7/27/2017 21:00,11.2,14.5,14,3.55
119,7/27/2017 21:15,11.2,13.8,14,3.55
120,7/27/2017 21:30,11.2,13.5,14,3.55
121,7/27/2017 21:45,11.2,13.1,14,3.55
122,7/27/2017 22:00,10.8,12.8,14,3.55
123,7/27/2017 22:15,10.8,12.8,14,3.55
124,7/27/2017 22:30,10.8,12.5,14,3.55
125,7/27/2017 22:45,10.8,12.1,14,3.55
126,7/27/2017 23:00,10.8,12.1,14,3.55
127,7/27/2017 23:15,10.8,11.8,14,3.55
128,7/27/2017 23:30,10.5,11.5,14,3.55
129,7/27/2017 23:45,10.5,11.5,14,3.55
130,7/28/2017 0:00,10.5,11.2,14,3.55
131,7/28/2017 0:15,10.5,11.2,14,3.55
132,7/28/2017 0:30,10.5,10.8,14,3.55
133,7/28/2017 0:45,10.5,10.8,14,3.55
134,7/28/2017 1:00,10.5,10.8,14,3.55
135,7/28/2017 1:15,10.5,10.5,14,3.55
136,7/28/2017 1:30,10.5,10.5,15,3.55
137,7/28/2017 1:45,10.5,10.8,15,3.55
138,7/28/2017 2:00,10.5,10.5,15,3.55
139,7/28/2017 2:15,10.5,10.5,15,3.55
140,7/28/2017 2:30,10.5,10.5,15,3.55
141,7/28/2017 2:45,10.2,10.5,15,3.55
142,7/28/2017 3:00,10.2,10.2,15,3.55
143,7/28/2017 3:15,10.2,10.2,15,3.55
144,7/28/2017 3:30,10.2,10.2,15,3.55
145,7/28/2017 3:45,10.2,9.8,15,3.55
146,7/28/2017 4:00,10.2,9.8,15,3.55
147,7/28/2017 4:15,10.2,9.8,15,3.55
148,7/28/2017 4:30,10.2,9.5,15,3.55
149,7/28/2017 4:45,10.2,9.5,15,3.55
150,7/28/2017 5:00,10.2,9.5,15,3.55
151,7/28/2017 5:15,10.2,9.2,15,3.55
152,7/28/2017 5:30,10.2,9.2,15,3.55
153,7/28/2017 5:45,9.8,9.2,15,3.55
154,7/28/2017 6:00,9.8,9.2,15,3.55
155,7/28/2017 6:15,9.8,9.2,15,3.55
156,7/28/2017 6:30,9.8,9.2,15,3.55
157,7/28/2017 6:45,9.8,9.2,15,3.55
158,7/28/2017 7:00,9.8,9.5,15,3.55
159,7/28/2017 7:15,9.8,9.5,15,3.55
160,7/28/2017 7:30,10.2,9.5,15,3.55
161,7/28/2017 7:45,10.2,9.8,15,3.55
162,7/28/2017 8:00,10.2,10.2,15,3.55
163,7/28/2017 8:15,10.2,10.8,15,3.55
164,7/28/2017 8:30,10.5,11.8,15,3.55
165,7/28/2017 8:45,10.5,12.5,15,3.55
166,7/28/2017 9:00,10.5,13.1,15,3.55
167,7/28/2017 9:15,10.8,13.8,15,3.55
168,7/28/2017 9:30,10.8,14.8,15,3.55
169,7/28/2017 9:45,10.8,16.1,15,3.55
170,7/28/2017 10:00,11.2,17.5,15,3.55
171,7/28/2017 10:15,11.5,18.8,15,3.55
172,7/28/2017 10:30,11.5,19.9,15,3.55
173,7/28/2017 10:45,11.8,20.9,15,3.55
174,7/28/2017 11:00,12.1,22.3,15,3.59
175,7/28/2017 11:15,12.5,23.4,14,3.59
176,7/28/2017 11:30,12.5,23.8,14,3.59
177,7/28/2017 11:45,12.5,24.2,14,3.59
178,7/28/2017 12:00,12.5,24.5,13,3.59
179,7/28/2017 12:15,12.5,24.2,13,3.59
180,7/28/2017 12:30,12.8,24.2,13,3.59
181,7/28/2017 12:45,12.8,23.8,12,3.59
182,7/28/2017 13:00,12.8,24.2,12,3.59
183,7/28/2017 13:15,13.1,24.5,12,3.59
184,7/28/2017 13:30,13.1,24.9,11,3.59
185,7/28/2017 13:45,13.1,24.9,11,3.59
186,7/28/2017 14:00,13.1,24.9,10,3.59
187,7/28/2017 14:15,13.1,25.3,10,3.59
188,7/28/2017 14:30,13.1,25.3,10,3.59
189,7/28/2017 14:45,13.1,26,10,3.59
190,7/28/2017 15:00,13.1,26.8,9,3.59
191,7/28/2017 15:15,13.1,27.5,9,3.59
192,7/28/2017 15:30,13.1,27.9,9,3.59
193,7/28/2017 15:45,13.1,27.9,9,3.59
194,7/28/2017 16:00,13.1,27.2,9,3.59
