sample,datetime,wtemp_a_1,ltemp_a_2,wtrhgt__3,wtrhgt__4,batt_mi_5
1,9/8/2017 13:00,13.8,22.3,-5,-5,3.59
2,9/8/2017 13:15,12.1,22.7,-5,-6,3.59
3,9/8/2017 13:30,12.8,22.7,-5,-5,3.59
4,9/8/2017 13:45,13.5,23.1,-5,-5,3.59
5,9/8/2017 14:00,13.5,23.4,-5,-5,3.59
6,9/8/2017 14:15,13.5,23.8,-5,-5,3.59
7,9/8/2017 14:30,13.8,24.2,-5,-5,3.59
8,9/8/2017 14:45,13.8,24.5,-6,-5,3.59
9,9/8/2017 15:00,13.5,24.2,-6,-6,3.59
10,9/8/2017 15:15,13.1,23.4,-6,-6,3.59
11,9/8/2017 15:30,13.1,23.1,-6,-6,3.59
12,9/8/2017 15:45,12.8,23.1,-6,-6,3.59
13,9/8/2017 16:00,12.5,22.3,-6,-6,3.59
14,9/8/2017 16:15,12.5,21.6,-6,-6,3.59
15,9/8/2017 16:30,12.1,20.9,-7,-6,3.59
16,9/8/2017 16:45,12.1,20.9,-6,-6,3.59
17,9/8/2017 17:00,12.1,20.6,-6,-6,3.59
18,9/8/2017 17:15,11.8,19.9,-7,-7,3.59
19,9/8/2017 17:30,11.8,18.2,-7,-7,3.59
20,9/8/2017 17:45,11.5,16.1,-7,-7,3.59
21,9/8/2017 18:00,11.5,15.1,-7,-7,3.59
22,9/8/2017 18:15,11.2,14.5,-6,-7,3.55
23,9/8/2017 18:30,11.2,14.1,-6,-7,3.55
24,9/8/2017 18:45,11.2,14.1,-7,-7,3.55
25,9/8/2017 19:00,10.8,13.8,-7,-7,3.55
26,9/8/2017 19:15,10.8,13.5,-7,-7,3.55
27,9/8/2017 19:30,10.8,13.1,-6,-7,3.55
28,9/8/2017 19:45,10.8,12.8,-6,-7,3.55
29,9/8/2017 20:00,10.5,12.8,-7,-6,3.55
30,9/8/2017 20:15,10.5,12.5,-6,-6,3.55
31,9/8/2017 20:30,10.5,12.1,-6,-6,3.55
32,9/8/2017 20:45,10.5,11.8,-6,-6,3.55
33,9/8/2017 21:00,10.2,11.5,-6,-6,3.55
34,9/8/2017 21:15,10.2,11.5,-6,-6,3.55
35,9/8/2017 21:30,10.2,11.2,-6,-6,3.55
36,9/8/2017 21:45,10.2,11.2,-6,-6,3.55
37,9/8/2017 22:00,10.2,10.8,-6,-6,3.55
38,9/8/2017 22:15,9.8,10.8,-6,-6,3.55
39,9/8/2017 22:30,9.8,10.5,-6,-6,3.55
40,9/8/2017 22:45,9.8,10.2,-6,-6,3.55
41,9/8/2017 23:00,9.8,10.2,-6,-6,3.55
42,9/8/2017 23:15,9.5,9.8,-6,-6,3.55
43,9/8/2017 23:30,9.5,9.5,-5,-6,3.55
44,9/8/2017 23:45,9.5,9.2,-5,-5,3.55
45,9/9/2017 0:00,9.5,9.2,-5,-5,3.55
46,9/9/2017 0:15,9.2,8.9,-5,-5,3.55
47,9/9/2017 0:30,9.2,8.5,-5,-5,3.55
48,9/9/2017 0:45,9.2,8.5,-5,-5,3.55
49,9/9/2017 1:00,9.2,8.2,-5,-5,3.55
50,9/9/2017 1:15,9.2,8.2,-5,-5,3.55
51,9/9/2017 1:30,8.9,7.9,-5,-5,3.55
52,9/9/2017 1:45,8.9,7.9,-5,-5,3.55
53,9/9/2017 2:00,8.9,7.5,-5,-5,3.55
54,9/9/2017 2:15,8.9,7.5,-5,-5,3.55
55,9/9/2017 2:30,8.9,7.5,-5,-5,3.55
56,9/9/2017 2:45,8.9,7.2,-5,-5,3.55
57,9/9/2017 3:00,8.5,7.2,-5,-5,3.55
58,9/9/2017 3:15,8.5,7.2,-5,-5,3.55
59,9/9/2017 3:30,8.5,7.2,-5,-5,3.55
60,9/9/2017 3:45,8.5,7.2,-5,-5,3.55
61,9/9/2017 4:00,8.5,7.2,-5,-5,3.55
62,9/9/2017 4:15,8.5,7.2,-5,-5,3.55
63,9/9/2017 4:30,8.5,7.2,-5,-5,3.55
64,9/9/2017 4:45,8.5,7.2,-5,-5,3.55
65,9/9/2017 5:00,8.5,7.2,-4,-5,3.55
66,9/9/2017 5:15,8.9,7.2,-5,-4,3.55
67,9/9/2017 5:30,8.9,7.5,-4,-4,3.55
68,9/9/2017 5:45,8.9,7.5,-4,-5,3.55
69,9/9/2017 6:00,8.9,7.5,-5,-4,3.55
70,9/9/2017 6:15,8.9,7.5,-4,-4,3.55
71,9/9/2017 6:30,8.9,7.9,-4,-4,3.55
72,9/9/2017 6:45,8.9,7.9,-4,-4,3.55
73,9/9/2017 7:00,8.9,8.2,-4,-4,3.55
74,9/9/2017 7:15,9.2,8.5,-4,-4,3.55
75,9/9/2017 7:30,9.2,8.9,-4,-4,3.55
76,9/9/2017 7:45,9.2,9.2,-4,-4,3.55
77,9/9/2017 8:00,9.5,9.5,-4,-4,3.55
78,9/9/2017 8:15,9.5,9.8,-4,-4,3.55
79,9/9/2017 8:30,9.5,10.2,-4,-4,3.55
80,9/9/2017 8:45,9.8,10.5,-4,-4,3.55
81,9/9/2017 9:00,9.8,11.2,-4,-4,3.55
82,9/9/2017 9:15,9.8,11.5,-4,-4,3.55
83,9/9/2017 9:30,10.2,12.1,-4,-4,3.55
84,9/9/2017 9:45,10.2,12.8,-4,-4,3.55
85,9/9/2017 10:00,10.5,13.5,-4,-4,3.55
86,9/9/2017 10:15,10.5,14.5,-4,-4,3.55
87,9/9/2017 10:30,10.5,14.8,-4,-4,3.55
88,9/9/2017 10:45,10.8,15.8,-4,-4,3.55
89,9/9/2017 11:00,11.2,16.8,-4,-4,3.55
90,9/9/2017 11:15,11.5,17.8,-4,-4,3.59
91,9/9/2017 11:30,12.1,19.2,-4,-4,3.59
92,9/9/2017 11:45,12.5,20.6,-4,-4,3.59
93,9/9/2017 12:00,12.8,21.3,-4,-4,3.59
94,9/9/2017 12:15,12.8,22,-4,-4,3.59
95,9/9/2017 12:30,13.1,22.3,-4,-4,3.59
96,9/9/2017 12:45,13.1,22.7,-4,-4,3.59
97,9/9/2017 13:00,13.1,23.1,-4,-4,3.59
98,9/9/2017 13:15,13.5,23.4,-4,-4,3.59
99,9/9/2017 13:30,13.8,24.5,-4,-4,3.59
100,9/9/2017 13:45,14.1,24.9,-4,-4,3.59
101,9/9/2017 14:00,14.1,24.9,-4,-4,3.59
102,9/9/2017 14:15,14.1,24.5,-4,-4,3.59
103,9/9/2017 14:30,13.8,23.8,-5,-5,3.59
104,9/9/2017 14:45,13.1,23.1,-5,-5,3.59
105,9/9/2017 15:00,13.1,23.1,-5,-5,3.59
106,9/9/2017 15:15,13.1,23.1,-4,-5,3.59
107,9/9/2017 15:30,12.8,23.1,-5,-5,3.59
108,9/9/2017 15:45,12.5,22.3,-5,-5,3.59
109,9/9/2017 16:00,12.5,22,-5,-5,3.59
110,9/9/2017 16:15,12.5,21.6,-5,-5,3.59
111,9/9/2017 16:30,12.5,21.3,-5,-5,3.59
112,9/9/2017 16:45,11.8,19.2,-6,-6,3.59
113,9/9/2017 17:00,11.5,16.1,-7,-6,3.59
114,9/9/2017 17:15,11.2,14.5,-7,-7,3.55
115,9/9/2017 17:30,11.2,13.8,-7,-7,3.55
116,9/9/2017 17:45,11.2,13.1,-7,-7,3.55
117,9/9/2017 18:00,11.2,13.1,-7,-7,3.55
118,9/9/2017 18:15,11.2,13.1,-6,-7,3.55
119,9/9/2017 18:30,11.2,13.5,-7,-7,3.55
120,9/9/2017 18:45,10.8,13.5,-7,-7,3.55
121,9/9/2017 19:00,10.8,13.1,-7,-6,3.55
122,9/9/2017 19:15,10.8,13.1,-7,-6,3.55
123,9/9/2017 19:30,10.8,12.8,-6,-6,3.55
124,9/9/2017 19:45,10.5,12.5,-6,-6,3.55
