sample,datetime,wtemp_a_1,ltemp_a_2,wtrhgt__3,wtrhgt__4,batt_mi_5
1,05/22/2018 12:45:00,8.9,20.2,67,67,3.63
2,05/22/2018 13:00:00,8.9,19.5,66,66,3.59
3,05/22/2018 13:15:00,8.9,18.8,65,66,3.59
4,05/22/2018 13:30:00,8.9,18.5,66,66,3.59
5,05/22/2018 13:45:00,8.9,18.8,66,66,3.59
6,05/22/2018 14:00:00,8.9,18.2,66,66,3.59
7,05/22/2018 14:15:00,8.2,15.1,62,66,3.59
8,05/22/2018 14:30:00,6.5,11.5,64,63,3.59
9,05/22/2018 14:45:00,6.2,9.5,64,64,3.59
10,05/22/2018 15:00:00,6.5,8.5,66,65,3.59
11,05/22/2018 15:15:00,6.5,9.2,65,65,3.59
12,05/22/2018 15:30:00,6.5,10.5,65,65,3.59
13,05/22/2018 15:45:00,6.5,10.8,64,64,3.59
14,05/22/2018 16:00:00,6.2,10.5,64,65,3.59
15,05/22/2018 16:15:00,6.2,10.2,64,64,3.59
16,05/22/2018 16:30:00,6.2,10.2,65,64,3.59
17,05/22/2018 16:45:00,6.2,10.2,62,63,3.59
18,05/22/2018 17:00:00,6.5,10.5,63,63,3.59
19,05/22/2018 17:15:00,6.5,10.8,62,63,3.59
20,05/22/2018 17:30:00,6.5,10.8,63,63,3.59
21,05/22/2018 17:45:00,6.5,11.2,62,63,3.59
22,05/22/2018 18:00:00,6.5,10.8,62,63,3.59
23,05/22/2018 18:15:00,6.5,10.8,60,63,3.59
24,05/22/2018 18:30:00,6.5,10.5,61,61,3.59
25,05/22/2018 18:45:00,6.5,10.5,62,62,3.59
26,05/22/2018 19:00:00,6.5,10.2,61,62,3.59
27,05/22/2018 19:15:00,6.5,9.8,61,62,3.59
28,05/22/2018 19:30:00,6.5,9.8,63,62,3.59
29,05/22/2018 19:45:00,6.5,9.5,63,62,3.59
30,05/22/2018 20:00:00,6.5,9.2,62,62,3.59
31,05/22/2018 20:15:00,6.2,8.5,61,62,3.59
32,05/22/2018 20:30:00,6.2,8.2,61,62,3.59
33,05/22/2018 20:45:00,6.2,7.9,62,62,3.59
34,05/22/2018 21:00:00,6.2,7.5,61,61,3.55
35,05/22/2018 21:15:00,6.2,7.2,62,62,3.55
36,05/22/2018 21:30:00,6.2,7.2,62,61,3.55
37,05/22/2018 21:45:00,5.9,6.9,62,61,3.55
38,05/22/2018 22:00:00,5.9,6.9,60,61,3.55
39,05/22/2018 22:15:00,5.9,6.9,61,61,3.55
40,05/22/2018 22:30:00,5.9,6.5,62,61,3.55
41,05/22/2018 22:45:00,5.9,6.2,61,61,3.55
42,05/22/2018 23:00:00,5.9,5.9,63,61,3.55
43,05/22/2018 23:15:00,5.6,5.6,62,62,3.55
44,05/22/2018 23:30:00,5.6,5.6,61,62,3.55
45,05/22/2018 23:45:00,5.6,5.2,61,61,3.55
46,05/23/2018 00:00:00,5.6,5.6,62,62,3.55
47,05/23/2018 00:15:00,5.6,6.2,63,61,3.55
48,05/23/2018 00:30:00,5.6,6.2,60,61,3.55
49,05/23/2018 00:45:00,5.6,5.6,62,61,3.55
50,05/23/2018 01:00:00,5.2,4.9,62,61,3.55
51,05/23/2018 01:15:00,5.2,4.6,61,61,3.55
52,05/23/2018 01:30:00,5.2,4.2,62,61,3.55
53,05/23/2018 01:45:00,5.2,3.9,60,61,3.55
54,05/23/2018 02:00:00,5.2,3.9,61,61,3.55
55,05/23/2018 02:15:00,5.2,3.5,62,61,3.55
56,05/23/2018 02:30:00,5.2,3.5,61,61,3.55
57,05/23/2018 02:45:00,4.9,3.2,61,61,3.55
58,05/23/2018 03:00:00,4.9,3.2,61,61,3.55
59,05/23/2018 03:15:00,4.9,2.9,62,61,3.55
60,05/23/2018 03:30:00,4.9,2.9,60,61,3.55
61,05/23/2018 03:45:00,4.9,2.9,61,61,3.55
62,05/23/2018 04:00:00,4.9,2.5,60,61,3.55
63,05/23/2018 04:15:00,4.9,2.5,61,61,3.55
64,05/23/2018 04:30:00,4.9,2.5,62,61,3.55
65,05/23/2018 04:45:00,4.6,2.5,60,60,3.55
66,05/23/2018 05:00:00,4.6,2.5,60,60,3.55
67,05/23/2018 05:15:00,4.6,2.5,61,60,3.55
68,05/23/2018 05:30:00,4.6,2.5,59,60,3.55
69,05/23/2018 05:45:00,4.6,2.5,61,60,3.55
70,05/23/2018 06:00:00,4.6,2.5,59,60,3.55
71,05/23/2018 06:15:00,4.6,2.5,58,60,3.55
72,05/23/2018 06:30:00,4.6,2.9,60,60,3.55
73,05/23/2018 06:45:00,4.6,3.2,61,60,3.55
74,05/23/2018 07:00:00,4.9,4.2,60,60,3.55
75,05/23/2018 07:15:00,4.9,5.9,62,61,3.55
76,05/23/2018 07:30:00,4.9,6.9,60,60,3.55
77,05/23/2018 07:45:00,5.2,7.5,61,60,3.55
78,05/23/2018 08:00:00,5.2,7.9,60,60,3.55
79,05/23/2018 08:15:00,5.6,8.2,58,59,3.55
80,05/23/2018 08:30:00,5.6,8.5,61,60,3.55
81,05/23/2018 08:45:00,5.6,8.9,61,60,3.55
82,05/23/2018 09:00:00,5.6,9.2,59,60,3.55
83,05/23/2018 09:15:00,5.6,9.8,60,60,3.59
84,05/23/2018 09:30:00,5.9,10.2,61,60,3.59
85,05/23/2018 09:45:00,5.9,10.5,61,60,3.59
86,05/23/2018 10:00:00,5.9,10.5,59,60,3.59
87,05/23/2018 10:15:00,6.2,11.2,60,60,3.59
88,05/23/2018 10:30:00,6.2,12.1,60,60,3.59
89,05/23/2018 10:45:00,6.5,13.5,61,60,3.59
90,05/23/2018 11:00:00,6.9,14.1,61,60,3.59
91,05/23/2018 11:15:00,6.9,14.8,60,60,3.59
92,05/23/2018 11:30:00,7.2,15.1,59,59,3.59
93,05/23/2018 11:45:00,7.2,14.8,59,59,3.59
94,05/23/2018 12:00:00,7.2,14.1,59,59,3.59
95,05/23/2018 12:15:00,7.2,13.8,58,59,3.59
96,05/23/2018 12:30:00,7.5,14.8,58,59,3.59
97,05/23/2018 12:45:00,7.9,15.5,60,59,3.59
98,05/23/2018 13:00:00,7.9,15.8,58,60,3.59
99,05/23/2018 13:15:00,7.9,15.8,60,59,3.59
100,05/23/2018 13:30:00,7.9,16.1,60,59,3.59
101,05/23/2018 13:45:00,7.9,16.8,59,59,3.59
102,05/23/2018 14:00:00,8.2,17.8,59,59,3.59
103,05/23/2018 14:15:00,7.9,17.5,59,59,3.59
104,05/23/2018 14:30:00,8.2,17.5,59,59,3.59
105,05/23/2018 14:45:00,7.9,16.5,57,59,3.59
106,05/23/2018 15:00:00,7.9,15.5,58,59,3.59
107,05/23/2018 15:15:00,7.9,15.1,57,59,3.59
108,05/23/2018 15:30:00,7.9,14.8,58,59,3.59
109,05/23/2018 15:45:00,7.9,14.1,59,58,3.59
110,05/23/2018 16:00:00,7.9,13.8,59,58,3.59
111,05/23/2018 16:15:00,7.5,13.8,59,59,3.59
112,05/23/2018 16:30:00,7.5,13.5,58,58,3.59
113,05/23/2018 16:45:00,7.5,13.1,60,58,3.59
114,05/23/2018 17:00:00,7.5,12.8,60,59,3.59
115,05/23/2018 17:15:00,7.5,12.5,59,59,3.59
116,05/23/2018 17:30:00,7.5,12.1,59,58,3.59
117,05/23/2018 17:45:00,7.2,12.1,60,59,3.59
118,05/23/2018 18:00:00,7.2,12.1,58,58,3.59
119,05/23/2018 18:15:00,7.2,12.1,58,59,3.59
120,05/23/2018 18:30:00,7.2,11.8,57,59,3.59
121,05/23/2018 18:45:00,7.2,11.5,58,59,3.59
122,05/23/2018 19:00:00,7.2,11.5,59,58,3.59
123,05/23/2018 19:15:00,7.2,11.2,59,58,3.59
124,05/23/2018 19:30:00,7.2,10.8,59,58,3.59
125,05/23/2018 19:45:00,6.9,10.5,58,58,3.59
126,05/23/2018 20:00:00,6.9,10.2,58,58,3.59
127,05/23/2018 20:15:00,6.9,9.8,59,58,3.59
128,05/23/2018 20:30:00,6.9,9.2,59,59,3.59
129,05/23/2018 20:45:00,6.5,8.9,56,58,3.59
130,05/23/2018 21:00:00,6.5,8.5,58,58,3.59
131,05/23/2018 21:15:00,6.5,7.9,59,58,3.59
132,05/23/2018 21:30:00,6.2,7.5,58,58,3.55
133,05/23/2018 21:45:00,6.2,7.2,58,58,3.55
134,05/23/2018 22:00:00,6.2,7.2,56,58,3.55
135,05/23/2018 22:15:00,6.2,6.9,59,58,3.55
136,05/23/2018 22:30:00,5.9,6.5,57,58,3.55
137,05/23/2018 22:45:00,5.9,6.2,58,58,3.55
138,05/23/2018 23:00:00,5.9,5.9,58,58,3.55
139,05/23/2018 23:15:00,5.9,5.9,57,58,3.55
140,05/23/2018 23:30:00,5.9,5.6,58,58,3.55
141,05/23/2018 23:45:00,5.6,5.2,58,58,3.55
142,05/24/2018 00:00:00,5.6,4.9,58,58,3.55
143,05/24/2018 00:15:00,5.6,4.6,59,58,3.55
144,05/24/2018 00:30:00,5.6,4.6,58,58,3.55
145,05/24/2018 00:45:00,5.2,4.2,58,58,3.55
146,05/24/2018 01:00:00,5.2,4.2,57,58,3.55
147,05/24/2018 01:15:00,5.2,3.9,58,58,3.55
148,05/24/2018 01:30:00,5.2,3.9,58,58,3.55
149,05/24/2018 01:45:00,5.2,3.5,59,58,3.55
150,05/24/2018 02:00:00,5.2,3.5,57,58,3.55
151,05/24/2018 02:15:00,5.2,3.5,57,58,3.55
152,05/24/2018 02:30:00,4.9,3.2,58,58,3.55
153,05/24/2018 02:45:00,4.9,3.2,58,58,3.55
154,05/24/2018 03:00:00,4.9,3.2,58,58,3.55
155,05/24/2018 03:15:00,4.9,2.9,57,58,3.55
156,05/24/2018 03:30:00,4.9,2.9,58,58,3.55
157,05/24/2018 03:45:00,4.9,2.9,57,57,3.55
158,05/24/2018 04:00:00,4.9,2.9,58,58,3.55
159,05/24/2018 04:15:00,4.9,2.9,58,58,3.55
160,05/24/2018 04:30:00,4.9,2.5,59,58,3.55
161,05/24/2018 04:45:00,4.6,2.5,58,58,3.55
162,05/24/2018 05:00:00,4.6,2.5,58,57,3.55
163,05/24/2018 05:15:00,4.6,2.2,56,57,3.55
164,05/24/2018 05:30:00,4.6,2.2,57,58,3.55
165,05/24/2018 05:45:00,4.6,2.5,58,58,3.55
166,05/24/2018 06:00:00,4.6,2.5,57,58,3.55
167,05/24/2018 06:15:00,4.6,2.5,57,58,3.55
168,05/24/2018 06:30:00,4.6,2.9,60,58,3.55
169,05/24/2018 06:45:00,4.6,3.2,58,58,3.55
170,05/24/2018 07:00:00,4.9,4.2,58,58,3.55
171,05/24/2018 07:15:00,4.9,5.9,59,59,3.55
172,05/24/2018 07:30:00,5.2,7.2,60,59,3.55
173,05/24/2018 07:45:00,5.2,7.9,59,58,3.55
174,05/24/2018 08:00:00,5.2,8.5,58,58,3.55
175,05/24/2018 08:15:00,5.6,9.2,58,58,3.55
176,05/24/2018 08:30:00,5.6,10.2,58,58,3.59
177,05/24/2018 08:45:00,5.9,11.5,59,58,3.59
178,05/24/2018 09:00:00,5.9,13.5,59,58,3.59
179,05/24/2018 09:15:00,6.2,14.8,59,58,3.59
180,05/24/2018 09:30:00,6.2,15.1,57,59,3.59
181,05/24/2018 09:45:00,6.5,15.8,60,59,3.59
182,05/24/2018 10:00:00,6.5,17.1,60,59,3.59
183,05/24/2018 10:15:00,6.9,18.2,58,58,3.59
184,05/24/2018 10:30:00,7.2,19.2,59,58,3.59
185,05/24/2018 10:45:00,7.5,19.5,57,58,3.59
186,05/24/2018 11:00:00,7.9,19.5,58,58,3.59
187,05/24/2018 11:15:00,7.9,19.5,58,58,3.63
188,05/24/2018 11:30:00,7.9,19.2,58,58,3.59
189,05/24/2018 11:45:00,8.2,18.8,59,58,3.59
190,05/24/2018 12:00:00,8.5,18.8,57,58,3.63
191,05/24/2018 12:15:00,8.5,19.2,58,57,3.63
192,05/24/2018 12:30:00,8.9,19.2,58,57,3.63
193,05/24/2018 12:45:00,8.9,19.5,57,57,3.63
194,05/24/2018 13:00:00,9.2,19.5,58,58,3.63
195,05/24/2018 13:15:00,9.2,19.9,58,57,3.63
196,05/24/2018 13:30:00,9.2,20.9,58,57,3.63
197,05/24/2018 13:45:00,9.5,22.0,58,57,3.63
198,05/24/2018 14:00:00,9.5,22.7,58,57,3.63
199,05/24/2018 14:15:00,9.2,22.7,57,57,3.63
200,05/24/2018 14:30:00,9.2,22.7,56,57,3.63
201,05/24/2018 14:45:00,9.2,22.3,58,57,3.63
202,05/24/2018 15:00:00,9.2,21.6,57,57,3.63
203,05/24/2018 15:15:00,9.2,20.9,57,57,3.63
204,05/24/2018 15:30:00,9.2,20.9,57,57,3.63
205,05/24/2018 15:45:00,8.9,20.6,57,57,3.63
206,05/24/2018 16:00:00,8.9,19.9,57,57,3.63
