Report Date:,6/9/2017 1:37:52 PM
Report User Name:,fieldtech
Report Computer Name:,NREL-F1KAMPF
Application:,WinSitu.exe
Application Version:,5.6.24.4


Log File Properties
File Name,Baro_Append_2017-06-07_15-41-21-827.wsl
Create Date,6/7/2017 3:41:21 PM

Device Properties
Device,Rugged BaroTROLL
Site,Dry_Creek
Device Name,Lazy_D_Baro
Serial Number,351563
Firmware Version,1.01
Hardware Version,0
Device Address,1
Device Comm Cfg,19200,8,Even,1,(Modbus-RTU)
Used Memory,0
Used Battery,24

Log Configuration
,Log Name,Baro
,Created By,fieldtech
,Computer Name,NREL-F1KAMPF
,Application,WinSitu.exe
,Application Version,5.6.24.4
,Create Date,9/17/2016 9:38:56 PM Mountain Standard Time (Ignore DST)
,Log Setup Time Zone,Unknown
,Notes Size(bytes),4096
,Overwrite when full,Enabled
,Scheduled Start Time,9/18/2016 5:00:00 PM Mountain Standard Time (Ignore DST)
,Scheduled Stop Time,No Stop Time
,Type,Linear
 ,Interval,Days: 0 hrs: 00 mins: 30 secs: 00





Other Log Settings



Log Notes:
Date and Time,Note
9/17/2016 8:35:34 PM  ,Used Battery: 24% Used Memory: 6%   User Name: fieldtech
11/10/2016 3:30:54 PM ,Log Download - Used Battery: 25% Used Memory: 6%   User Name: fieldtech
4/6/2017 6:22:12 PM   ,Log Download - Used Battery: 28% Used Memory: 12%   User Name: fieldtech Interval -  Start Time: 11/10/2016 3:30:00 PM
5/4/2017 1:56:02 PM   ,Log Download - Used Battery: 29% Used Memory: 12%   User Name: fieldtech Interval -  Start Time: 4/6/2017 6:00:00 PM
6/7/2017 3:45:35 PM   ,Log Download - Used Battery: 30% Used Memory: 15%   User Name: fieldtech Interval -  Start Time: 5/4/2017 1:30:00 PM


Log Data:
Record Count,12574

Sensors,1

 ,1,351563,Baro-Pressure/Temp

Time Zone: Mountain Standard Time (Ignore DST)

,,Sensor: Baro Pres             ,Sensor: Baro Pres             ,
,Elapsed Time,SN#: 351563                   ,SN#: 351563                   ,
Date and Time,Seconds     ,Pressure (mBar)               ,Temperature (C)               ,
9/18/2016 5:00:00 PM  ,       0.000,                       772.363,                        21.916,
9/18/2016 5:30:00 PM  ,    1800.001,                       773.118,                        20.931,
9/18/2016 6:00:00 PM  ,    3600.001,                       771.805,                        20.586,
9/18/2016 6:30:00 PM  ,    5400.001,                       771.959,                        20.190,
9/18/2016 7:00:00 PM  ,    7200.001,                       772.377,                        18.999,
9/18/2016 7:30:00 PM  ,    9000.001,                       773.164,                        19.297,
9/18/2016 8:00:00 PM  ,   10800.001,                       773.474,                        18.201,
9/18/2016 8:30:00 PM  ,   12600.001,                       773.910,                        16.898,
9/18/2016 9:00:00 PM  ,   14400.001,                       774.467,                        16.596,
9/18/2016 9:30:00 PM  ,   16200.001,                       774.646,                        15.182,
9/18/2016 10:00:00 PM ,   18000.001,                       774.889,                        13.962,
9/18/2016 10:30:00 PM ,   19800.001,                       775.327,                        13.400,
9/18/2016 11:00:00 PM ,   21600.001,                       775.110,                        13.451,
9/18/2016 11:30:00 PM ,   23400.001,                       775.356,                        13.502,
9/19/2016 12:00:00 AM ,   25200.001,                       774.896,                        13.349,
9/19/2016 12:30:00 AM ,   27000.001,                       774.640,                        12.939,
9/19/2016 1:00:00 AM  ,   28800.001,                       774.789,                        11.344,
9/19/2016 1:30:00 AM  ,   30600.001,                       774.855,                        10.412,
9/19/2016 2:00:00 AM  ,   32400.001,                       775.069,                         9.840,
9/19/2016 2:30:00 AM  ,   34200.001,                       775.283,                         9.267,
9/19/2016 3:00:00 AM  ,   36000.001,                       775.467,                         8.744,
9/19/2016 3:30:00 AM  ,   37800.001,                       775.430,                         8.430,
9/19/2016 4:00:00 AM  ,   39600.001,                       775.168,                         7.958,
9/19/2016 4:30:00 AM  ,   41400.001,                       775.455,                         7.642,
9/19/2016 5:00:00 AM  ,   43200.001,                       775.207,                         7.220,
9/19/2016 5:30:00 AM  ,   45000.001,                       775.615,                         7.009,
9/19/2016 6:00:00 AM  ,   46800.001,                       776.003,                         6.904,
9/19/2016 6:30:00 AM  ,   48600.001,                       776.122,                         7.009,
9/19/2016 7:00:00 AM  ,   50400.001,                       776.445,                         7.009,
9/19/2016 7:30:00 AM  ,   52200.001,                       776.513,                         7.273,
9/19/2016 8:00:00 AM  ,   54000.001,                       777.134,                         8.063,
9/19/2016 8:30:00 AM  ,   55800.001,                       777.283,                         9.319,
9/19/2016 9:00:00 AM  ,   57600.001,                       777.464,                        10.827,
9/19/2016 9:30:00 AM  ,   59400.001,                       777.500,                        12.272,
9/19/2016 10:00:00 AM ,   61200.001,                       777.252,                        13.502,
9/19/2016 10:30:00 AM ,   63000.001,                       777.131,                        18.650,
9/19/2016 11:00:00 AM ,   64800.001,                       776.888,                        33.651,
9/19/2016 11:30:00 AM ,   66600.001,                       776.086,                        31.159,
9/19/2016 12:00:00 PM ,   68400.001,                       776.180,                        26.582,
9/19/2016 12:30:00 PM ,   70200.001,                       776.072,                        26.823,
9/19/2016 1:00:00 PM  ,   72000.001,                       775.872,                        27.207,
9/19/2016 1:30:00 PM  ,   73800.001,                       775.346,                        27.159,
9/19/2016 2:00:00 PM  ,   75600.001,                       775.315,                        27.495,
9/19/2016 2:30:00 PM  ,   77400.001,                       775.176,                        27.782,
9/19/2016 3:00:00 PM  ,   79200.001,                       775.097,                        26.823,
9/19/2016 3:30:00 PM  ,   81000.001,                       775.080,                        26.197,
9/19/2016 4:00:00 PM  ,   82800.001,                       775.002,                        25.956,
9/19/2016 4:30:00 PM  ,   84600.001,                       774.643,                        24.989,
9/19/2016 5:00:00 PM  ,   86400.001,                       774.701,                        23.580,
9/19/2016 5:30:00 PM  ,   88200.001,                       774.450,                        22.651,
9/19/2016 6:00:00 PM  ,   90000.001,                       773.906,                        20.783,
9/19/2016 6:30:00 PM  ,   91800.001,                       774.136,                        19.744,
9/19/2016 7:00:00 PM  ,   93600.001,                       774.615,                        19.049,
9/19/2016 7:30:00 PM  ,   95400.001,                       775.266,                        17.400,
9/19/2016 8:00:00 PM  ,   97200.001,                       775.641,                        16.193,
9/19/2016 8:30:00 PM  ,   99000.001,                       775.543,                        14.776,
9/19/2016 9:00:00 PM  ,  100800.001,                       776.031,                        13.757,
9/19/2016 9:30:00 PM  ,  102600.001,                       776.430,                        12.734,
9/19/2016 10:00:00 PM ,  104400.001,                       776.271,                        12.015,
9/19/2016 10:30:00 PM ,  106200.001,                       776.072,                        11.137,
9/19/2016 11:00:00 PM ,  108000.001,                       776.344,                        10.620,
9/19/2016 11:30:00 PM ,  109800.001,                       776.276,                        10.204,
9/20/2016 12:00:00 AM ,  111600.001,                       776.199,                         9.580,
9/20/2016 12:30:00 AM ,  113400.001,                       775.994,                         9.163,
9/20/2016 1:00:00 AM  ,  115200.001,                       775.860,                         9.006,
9/20/2016 1:30:00 AM  ,  117000.001,                       775.754,                         8.954,
9/20/2016 2:00:00 AM  ,  118800.001,                       775.472,                         8.587,
9/20/2016 2:30:00 AM  ,  120600.001,                       775.486,                         8.115,
9/20/2016 3:00:00 AM  ,  122400.001,                       775.357,                         7.800,
9/20/2016 3:30:00 AM  ,  124200.001,                       775.441,                         7.589,
9/20/2016 4:00:00 AM  ,  126000.001,                       775.824,                         7.642,
9/20/2016 4:30:00 AM  ,  127800.001,                       775.915,                         8.168,
9/20/2016 5:00:00 AM  ,  129600.001,                       776.363,                         8.640,
9/20/2016 5:30:00 AM  ,  131400.001,                       776.159,                         8.220,
9/20/2016 6:00:00 AM  ,  133200.001,                       776.105,                         8.010,
9/20/2016 6:30:00 AM  ,  135000.001,                       776.359,                         7.747,
9/20/2016 7:00:00 AM  ,  136800.001,                       776.451,                         7.747,
9/20/2016 7:30:00 AM  ,  138600.001,                       776.658,                         8.010,
9/20/2016 8:00:00 AM  ,  140400.001,                       776.774,                         8.797,
9/20/2016 8:30:00 AM  ,  142200.001,                       776.653,                         9.892,
9/20/2016 9:00:00 AM  ,  144000.001,                       776.416,                        10.879,
9/20/2016 9:30:00 AM  ,  145800.001,                       776.508,                        11.705,
9/20/2016 10:00:00 AM ,  147600.001,                       776.627,                        12.939,
9/20/2016 10:30:00 AM ,  149400.001,                       776.704,                        14.318,
9/20/2016 11:00:00 AM ,  151200.001,                       776.318,                        16.596,
9/20/2016 11:30:00 AM ,  153000.001,                       776.205,                        18.501,
9/20/2016 12:00:00 PM ,  154800.001,                       776.036,                        20.042,
9/20/2016 12:30:00 PM ,  156600.001,                       775.544,                        21.424,
9/20/2016 1:00:00 PM  ,  158400.001,                       775.145,                        22.357,
9/20/2016 1:30:00 PM  ,  160200.001,                       774.869,                        23.091,
9/20/2016 2:00:00 PM  ,  162000.001,                       774.842,                        24.310,
9/20/2016 2:30:00 PM  ,  163800.001,                       774.503,                        24.552,
9/20/2016 3:00:00 PM  ,  165600.001,                       773.963,                        25.037,
9/20/2016 3:30:00 PM  ,  167400.001,                       774.210,                        24.795,
9/20/2016 4:00:00 PM  ,  169200.001,                       773.851,                        23.823,
9/20/2016 4:30:00 PM  ,  171000.001,                       773.647,                        22.896,
9/20/2016 5:00:00 PM  ,  172800.001,                       773.259,                        21.965,
9/20/2016 5:30:00 PM  ,  174600.001,                       774.724,                        20.438,
9/20/2016 6:00:00 PM  ,  176400.001,                       773.534,                        18.850,
9/20/2016 6:30:00 PM  ,  178200.001,                       773.890,                        18.501,
9/20/2016 7:00:00 PM  ,  180000.001,                       773.645,                        17.701,
9/20/2016 7:30:00 PM  ,  181800.001,                       774.110,                        17.099,
