Report Date:,4/7/2017 6:03:17 PM
Report User Name:,fieldtech
Report Computer Name:,NREL-F1KAMPF
Application:,WinSitu.exe
Application Version:,5.6.24.4


Log File Properties
File Name,Well_level_2017-04-06_18-38-10-297.wsl
Create Date,4/6/2017 6:38:04 PM

Device Properties
Device,Rugged TROLL 100
Site,Dry_Creek
Device Name, 
Serial Number,352268
Firmware Version,1.02
Hardware Version,0
Device Address,1
Device Comm Cfg,19200,8,Even,1,(Modbus-RTU)
Used Memory,0
Used Battery,23

Log Configuration
,Log Name,Well_level
,Created By,fieldtech
,Computer Name,NREL-F1KAMPF
,Application,WinSitu.exe
,Application Version,5.6.24.4
,Create Date,9/17/2016 9:41:19 PM Mountain Standard Time (Ignore DST)
,Log Setup Time Zone,Unknown
,Notes Size(bytes),4096
,Overwrite when full,Enabled
,Scheduled Start Time,9/18/2016 5:00:00 PM Mountain Standard Time (Ignore DST)
,Scheduled Stop Time,No Stop Time
,Type,Linear
 ,Interval,Days: 0 hrs: 00 mins: 30 secs: 00





Other Log Settings
,Depth of Probe:,862.982 (cm)
,Head Pressure:,12.2622 (PSI)
,Temperature:,21.5222 (C)



Log Notes:
Date and Time,Note
9/17/2016 9:41:24 PM  ,Used Battery: 23% Used Memory: 6%   User Name: fieldtech
4/6/2017 6:39:38 PM   ,Log Download - Used Battery: 27% Used Memory: 12%   User Name: fieldtech


Log Data:
Record Count,9604

Sensors,1

 ,1,352268,Pressure/Temp PSIA (9m/30ft)

Time Zone: Mountain Standard Time (Ignore DST)

,,Sensor: Pres(A) 30ft          ,Sensor: Pres(A) 30ft          ,
,Elapsed Time,SN#: 352268                   ,SN#: 352268                   ,
Date and Time,Seconds     ,Pressure (PSI)                ,Temperature (C)               ,
9/18/2016 5:00:00 PM  ,       0.000,                        11.200,                        17.100,
9/18/2016 5:30:00 PM  ,    1800.001,                        11.198,                        15.741,
9/18/2016 6:00:00 PM  ,    3600.001,                        11.195,                        14.729,
9/18/2016 6:30:00 PM  ,    5400.001,                        11.201,                        13.916,
9/18/2016 7:00:00 PM  ,    7200.001,                        11.200,                        13.305,
9/18/2016 7:30:00 PM  ,    9000.001,                        11.211,                        12.742,
9/18/2016 8:00:00 PM  ,   10800.001,                        11.215,                        12.435,
9/18/2016 8:30:00 PM  ,   12600.001,                        11.224,                        12.128,
9/18/2016 9:00:00 PM  ,   14400.001,                        11.227,                        11.820,
9/18/2016 9:30:00 PM  ,   16200.001,                        11.233,                        11.665,
9/18/2016 10:00:00 PM ,   18000.001,                        11.234,                        11.408,
9/18/2016 10:30:00 PM ,   19800.001,                        11.239,                        11.254,
9/18/2016 11:00:00 PM ,   21600.001,                        11.240,                        11.099,
9/18/2016 11:30:00 PM ,   23400.001,                        11.241,                        10.996,
9/19/2016 12:00:00 AM ,   25200.001,                        11.235,                        10.893,
9/19/2016 12:30:00 AM ,   27000.001,                        11.232,                        10.789,
9/19/2016 1:00:00 AM  ,   28800.001,                        11.234,                        10.789,
9/19/2016 1:30:00 AM  ,   30600.001,                        11.236,                        10.738,
9/19/2016 2:00:00 AM  ,   32400.001,                        11.239,                        10.686,
9/19/2016 2:30:00 AM  ,   34200.001,                        11.242,                        10.634,
9/19/2016 3:00:00 AM  ,   36000.001,                        11.245,                        10.583,
9/19/2016 3:30:00 AM  ,   37800.001,                        11.249,                        10.531,
9/19/2016 4:00:00 AM  ,   39600.001,                        11.239,                        10.479,
9/19/2016 4:30:00 AM  ,   41400.001,                        11.240,                        10.479,
9/19/2016 5:00:00 AM  ,   43200.001,                        11.244,                        10.428,
9/19/2016 5:30:00 AM  ,   45000.001,                        11.245,                        10.376,
9/19/2016 6:00:00 AM  ,   46800.001,                        11.251,                        10.376,
9/19/2016 6:30:00 AM  ,   48600.001,                        11.249,                        10.324,
9/19/2016 7:00:00 AM  ,   50400.001,                        11.257,                        10.324,
9/19/2016 7:30:00 AM  ,   52200.001,                        11.262,                        10.324,
9/19/2016 8:00:00 AM  ,   54000.001,                        11.263,                        10.324,
9/19/2016 8:30:00 AM  ,   55800.001,                        11.273,                        10.272,
9/19/2016 9:00:00 AM  ,   57600.001,                        11.271,                        10.272,
9/19/2016 9:30:00 AM  ,   59400.001,                        11.273,                        10.221,
9/19/2016 10:00:00 AM ,   61200.001,                        11.271,                        10.221,
9/19/2016 10:30:00 AM ,   63000.001,                        11.265,                        10.221,
9/19/2016 11:00:00 AM ,   64800.001,                        11.258,                        10.169,
9/19/2016 11:30:00 AM ,   66600.001,                        11.251,                        10.169,
9/19/2016 12:00:00 PM ,   68400.001,                        11.251,                        10.169,
9/19/2016 12:30:00 PM ,   70200.001,                        11.253,                        10.117,
9/19/2016 1:00:00 PM  ,   72000.001,                        11.243,                        10.117,
9/19/2016 1:30:00 PM  ,   73800.001,                        11.244,                        10.117,
9/19/2016 2:00:00 PM  ,   75600.001,                        11.241,                        10.065,
9/19/2016 2:30:00 PM  ,   77400.001,                        11.235,                        10.065,
9/19/2016 3:00:00 PM  ,   79200.001,                        11.237,                        10.065,
9/19/2016 3:30:00 PM  ,   81000.001,                        11.236,                        10.014,
9/19/2016 4:00:00 PM  ,   82800.001,                        11.229,                        10.014,
9/19/2016 4:30:00 PM  ,   84600.001,                        11.233,                        10.014,
9/19/2016 5:00:00 PM  ,   86400.001,                        11.231,                        10.014,
9/19/2016 5:30:00 PM  ,   88200.001,                        11.228,                        10.014,
9/19/2016 6:00:00 PM  ,   90000.001,                        11.230,                         9.962,
9/19/2016 6:30:00 PM  ,   91800.001,                        11.233,                         9.962,
9/19/2016 7:00:00 PM  ,   93600.001,                        11.233,                         9.962,
9/19/2016 7:30:00 PM  ,   95400.001,                        11.239,                         9.962,
9/19/2016 8:00:00 PM  ,   97200.001,                        11.243,                         9.962,
9/19/2016 8:30:00 PM  ,   99000.001,                        11.251,                         9.962,
9/19/2016 9:00:00 PM  ,  100800.001,                        11.255,                         9.962,
9/19/2016 9:30:00 PM  ,  102600.001,                        11.255,                         9.962,
