Report Date:,2/19/2019 3:33:35 PM
Report User Name:,fieldtech
Report Computer Name:,NREL-F1KAMPF
Application:,WinSitu.exe
Application Version:,5.6.24.4


Log File Properties
File Name,Hourly_dry_stage_103118_2019-02-14_13-59-31-569.wsl
Create Date,2/14/2019 1:59:27 PM

Device Properties
Device,Rugged TROLL 100
Site,Dry_Creek
Device Name, 
Serial Number,351998
Firmware Version,1.02
Hardware Version,0
Device Address,1
Device Comm Cfg,19200,8,Even,1,(Modbus-RTU)
Used Memory,6
Used Battery,40

Log Configuration
,Log Name,Hourly_dry_stage_103118
,Created By,fieldtech
,Computer Name,NREL-F1KAMPF
,Application,WinSitu.exe
,Application Version,5.6.24.4
,Create Date,10/31/2018 2:14:34 PM Mountain Standard Time (Ignore DST)
,Log Setup Time Zone,Unknown
,Notes Size(bytes),4096
,Overwrite when full,Enabled
,Scheduled Start Time,10/31/2018 3:00:00 PM Mountain Standard Time (Ignore DST)
,Scheduled Stop Time,No Stop Time
,Type,Linear
 ,Interval,Days: 0 hrs: 01 mins: 00 secs: 00





Other Log Settings
,Depth of Probe:,25.6304 (ft)
,Head Pressure:,11.1004 (PSI)
,Temperature:,5.78499 (C)



Log Notes:
Date and Time,Note
10/31/2018 3:19:54 PM ,Used Battery: 40% Used Memory: 6%   User Name: fieldtech
2/14/2019 3:06:04 PM  ,Log Download - Used Battery: 43% Used Memory: 6%   User Name: fieldtech


Log Data:
Record Count,2544

Sensors,1

 ,1,351998,Pressure/Temp PSIA (9m/30ft)

Time Zone: Mountain Standard Time (Ignore DST)

,,Sensor: Pres(A) 30ft          ,Sensor: Pres(A) 30ft          ,
,Elapsed Time,SN#: 351998                   ,SN#: 351998                   ,
Date and Time,Seconds     ,Pressure (PSI)                ,Temperature (C)               ,
10/31/2018 3:19:53 PM ,       0.000,                        11.099,                         5.785,
10/31/2018 4:19:53 PM ,    3600.000,                        11.169,                         4.516,
10/31/2018 5:19:53 PM ,    7200.000,                        11.168,                         4.356,
10/31/2018 6:19:53 PM ,   10800.000,                        11.172,                         4.037,
10/31/2018 7:19:53 PM ,   14400.000,                        11.170,                         3.878,
10/31/2018 8:19:53 PM ,   18000.000,                        11.166,                         3.771,
10/31/2018 9:19:53 PM ,   21600.000,                        11.156,                         3.771,
10/31/2018 10:19:53 PM,   25200.000,                        11.154,                         3.825,
10/31/2018 11:19:53 PM,   28800.000,                        11.152,                         3.665,
11/1/2018 12:19:53 AM ,   32400.000,                        11.151,                         3.718,
11/1/2018 1:19:53 AM  ,   36000.000,                        11.155,                         3.825,
11/1/2018 2:19:53 AM  ,   39600.000,                        11.159,                         3.771,
11/1/2018 3:19:53 AM  ,   43200.000,                        11.155,                         3.825,
11/1/2018 4:19:53 AM  ,   46800.000,                        11.154,                         3.825,
11/1/2018 5:19:53 AM  ,   50400.000,                        11.156,                         3.558,
11/1/2018 6:19:53 AM  ,   54000.000,                        11.169,                         3.665,
11/1/2018 7:19:53 AM  ,   57600.000,                        11.172,                         3.665,
11/1/2018 8:19:53 AM  ,   61200.000,                        11.181,                         3.771,
11/1/2018 9:19:53 AM  ,   64800.000,                        11.180,                         3.878,
11/1/2018 10:19:53 AM ,   68400.000,                        11.184,                         4.091,
11/1/2018 11:19:53 AM ,   72000.000,                        11.188,                         4.303,
11/1/2018 12:19:53 PM ,   75600.000,                        11.191,                         4.409,
11/1/2018 1:19:53 PM  ,   79200.000,                        11.188,                         4.781,
11/1/2018 2:19:53 PM  ,   82800.000,                        11.184,                         4.834,
11/1/2018 3:19:53 PM  ,   86400.000,                        11.183,                         5.045,
11/1/2018 4:19:53 PM  ,   90000.000,                        11.187,                         4.940,
11/1/2018 5:19:53 PM  ,   93600.000,                        11.179,                         4.834,
11/1/2018 6:19:53 PM  ,   97200.000,                        11.188,                         4.675,
11/1/2018 7:19:53 PM  ,  100800.000,                        11.192,                         4.516,
11/1/2018 8:19:53 PM  ,  104400.000,                        11.197,                         4.516,
11/1/2018 9:19:53 PM  ,  108000.000,                        11.193,                         4.463,
11/1/2018 10:19:53 PM ,  111600.000,                        11.191,                         4.463,
11/1/2018 11:19:53 PM ,  115200.000,                        11.198,                         4.569,
11/2/2018 12:19:53 AM ,  118800.000,                        11.200,                         4.622,
11/2/2018 1:19:53 AM  ,  122400.000,                        11.204,                         4.622,
11/2/2018 2:19:53 AM  ,  126000.000,                        11.205,                         4.675,
11/2/2018 3:19:53 AM  ,  129600.000,                        11.200,                         4.675,
11/2/2018 4:19:53 AM  ,  133200.000,                        11.189,                         4.728,
11/2/2018 5:19:53 AM  ,  136800.000,                        11.171,                         4.675,
11/2/2018 6:19:53 AM  ,  140400.000,                        11.175,                         4.781,
11/2/2018 7:19:53 AM  ,  144000.000,                        11.180,                         4.834,
11/2/2018 8:19:53 AM  ,  147600.000,                        11.173,                         4.940,
11/2/2018 9:19:53 AM  ,  151200.000,                        11.186,                         5.151,
11/2/2018 10:19:53 AM ,  154800.000,                        11.174,                         5.310,
11/2/2018 11:19:53 AM ,  158400.000,                        11.164,                         5.679,
11/2/2018 12:19:53 PM ,  162000.000,                        11.151,                         5.943,
11/2/2018 1:19:53 PM  ,  165600.000,                        11.150,                         6.312,
11/2/2018 2:19:53 PM  ,  169200.000,                        11.135,                         6.206,
11/2/2018 3:19:53 PM  ,  172800.000,                        11.129,                         6.154,
11/2/2018 4:19:53 PM  ,  176400.000,                        11.129,                         5.890,
11/2/2018 5:19:53 PM  ,  180000.000,                        11.126,                         5.732,
11/2/2018 6:19:53 PM  ,  183600.000,                        11.116,                         5.521,
11/2/2018 7:19:53 PM  ,  187200.000,                        11.104,                         5.468,
11/2/2018 8:19:53 PM  ,  190800.000,                        11.097,                         5.310,
11/2/2018 9:19:53 PM  ,  194400.000,                        11.123,                         5.310,
11/2/2018 10:19:53 PM ,  198000.000,                        11.131,                         5.204,
11/2/2018 11:19:53 PM ,  201600.000,                        11.121,                         4.781,
11/3/2018 12:19:53 AM ,  205200.000,                        11.121,                         4.622,
11/3/2018 1:19:53 AM  ,  208800.000,                        11.109,                         4.516,
