Report Date:,2/19/2019 3:33:28 PM
Report User Name:,fieldtech
Report Computer Name:,NREL-F1KAMPF
Application:,WinSitu.exe
Application Version:,5.6.24.4


Log File Properties
File Name,baro_hourly_103118_2019-02-14_14-20-45-851.wsl
Create Date,2/14/2019 2:20:40 PM

Device Properties
Device,Rugged BaroTROLL
Site,Dry_Creek
Device Name,Lazy_D_Baro
Serial Number,351563
Firmware Version,1.01
Hardware Version,0
Device Address,1
Device Comm Cfg,19200,8,Even,1,(Modbus-RTU)
Used Memory,34
Used Battery,41

Log Configuration
,Log Name,baro_hourly_103118
,Created By,fieldtech
,Computer Name,NREL-F1KAMPF
,Application,WinSitu.exe
,Application Version,5.6.24.4
,Create Date,10/31/2018 2:20:38 PM Mountain Standard Time (Ignore DST)
,Log Setup Time Zone,Unknown
,Notes Size(bytes),4096
,Overwrite when full,Enabled
,Scheduled Start Time,10/31/2018 3:00:00 PM Mountain Standard Time (Ignore DST)
,Scheduled Stop Time,No Stop Time
,Type,Linear
 ,Interval,Days: 0 hrs: 01 mins: 00 secs: 00





Other Log Settings



Log Notes:
Date and Time,Note
10/31/2018 2:20:43 PM ,Used Battery: 41% Used Memory: 6%   User Name: fieldtech
2/14/2019 2:22:16 PM  ,Log Download - Used Battery: 43% Used Memory: 6%   User Name: fieldtech


Log Data:
Record Count,2544

Sensors,1

 ,1,351563,Baro-Pressure/Temp

Time Zone: Mountain Standard Time (Ignore DST)

,,Sensor: Baro Pres             ,Sensor: Baro Pres             ,
,Elapsed Time,SN#: 351563                   ,SN#: 351563                   ,
Date and Time,Seconds     ,Pressure (PSI)                ,Temperature (C)               ,
10/31/2018 3:00:00 PM ,       0.000,                        11.110,                         2.684,
10/31/2018 4:00:00 PM ,    3600.000,                        11.115,                         0.456,
10/31/2018 5:00:00 PM ,    7200.000,                        11.118,                        -0.860,
10/31/2018 6:00:00 PM ,   10800.000,                        11.120,                        -1.908,
10/31/2018 7:00:00 PM ,   14400.000,                        11.115,                        -0.091,
10/31/2018 8:00:00 PM ,   18000.000,                        11.101,                         0.347,
10/31/2018 9:00:00 PM ,   21600.000,                        11.103,                         0.566,
10/31/2018 10:00:00 PM,   25200.000,                        11.102,                         0.128,
10/31/2018 11:00:00 PM,   28800.000,                        11.096,                        -0.530,
11/1/2018 12:00:00 AM ,   32400.000,                        11.105,                        -0.530,
11/1/2018 1:00:00 AM  ,   36000.000,                        11.103,                        -0.585,
11/1/2018 2:00:00 AM  ,   39600.000,                        11.107,                        -1.356,
11/1/2018 3:00:00 AM  ,   43200.000,                        11.105,                        -1.300,
11/1/2018 4:00:00 AM  ,   46800.000,                        11.101,                        -1.080,
11/1/2018 5:00:00 AM  ,   50400.000,                        11.118,                        -0.585,
11/1/2018 6:00:00 AM  ,   54000.000,                        11.119,                        -0.860,
11/1/2018 7:00:00 AM  ,   57600.000,                        11.127,                        -0.695,
11/1/2018 8:00:00 AM  ,   61200.000,                        11.129,                         1.709,
11/1/2018 9:00:00 AM  ,   64800.000,                        11.132,                         9.163,
11/1/2018 10:00:00 AM ,   68400.000,                        11.131,                         5.046,
11/1/2018 11:00:00 AM ,   72000.000,                        11.134,                         6.798,
11/1/2018 12:00:00 PM ,   75600.000,                        11.128,                         6.163,
11/1/2018 1:00:00 PM  ,   79200.000,                        11.126,                         6.163,
11/1/2018 2:00:00 PM  ,   82800.000,                        11.127,                         5.419,
11/1/2018 3:00:00 PM  ,   86400.000,                        11.126,                         5.472,
11/1/2018 4:00:00 PM  ,   90000.000,                        11.126,                         4.725,
11/1/2018 5:00:00 PM  ,   93600.000,                        11.129,                         3.600,
11/1/2018 6:00:00 PM  ,   97200.000,                        11.136,                         2.359,
11/1/2018 7:00:00 PM  ,  100800.000,                        11.139,                         2.576,
11/1/2018 8:00:00 PM  ,  104400.000,                        11.140,                         2.630,
11/1/2018 9:00:00 PM  ,  108000.000,                        11.139,                         3.061,
11/1/2018 10:00:00 PM ,  111600.000,                        11.145,                         3.546,
11/1/2018 11:00:00 PM ,  115200.000,                        11.148,                         3.653,
11/2/2018 12:00:00 AM ,  118800.000,                        11.152,                         3.277,
11/2/2018 1:00:00 AM  ,  122400.000,                        11.148,                         3.815,
11/2/2018 2:00:00 AM  ,  126000.000,                        11.145,                         3.761,
11/2/2018 3:00:00 AM  ,  129600.000,                        11.136,                         3.868,
11/2/2018 4:00:00 AM  ,  133200.000,                        11.123,                         3.600,
11/2/2018 5:00:00 AM  ,  136800.000,                        11.120,                         4.083,
11/2/2018 6:00:00 AM  ,  140400.000,                        11.120,                         4.832,
11/2/2018 7:00:00 AM  ,  144000.000,                        11.123,                         4.992,
11/2/2018 8:00:00 AM  ,  147600.000,                        11.127,                         6.798,
11/2/2018 9:00:00 AM  ,  151200.000,                        11.120,                         6.269,
11/2/2018 10:00:00 AM ,  154800.000,                        11.105,                        10.827,
11/2/2018 11:00:00 AM ,  158400.000,                        11.101,                        11.602,
11/2/2018 12:00:00 PM ,  162000.000,                        11.091,                        11.654,
11/2/2018 1:00:00 PM  ,  165600.000,                        11.083,                         9.424,
11/2/2018 2:00:00 PM  ,  169200.000,                        11.066,                         9.840,
11/2/2018 3:00:00 PM  ,  172800.000,                        11.073,                         9.163,
11/2/2018 4:00:00 PM  ,  176400.000,                        11.059,                         8.325,
11/2/2018 5:00:00 PM  ,  180000.000,                        11.050,                         7.642,
11/2/2018 6:00:00 PM  ,  183600.000,                        11.034,                         7.220,
11/2/2018 7:00:00 PM  ,  187200.000,                        11.052,                         4.832,
11/2/2018 8:00:00 PM  ,  190800.000,                        11.053,                         5.099,
11/2/2018 9:00:00 PM  ,  194400.000,                        11.063,                         2.197,
11/2/2018 10:00:00 PM ,  198000.000,                        11.068,                         1.492,
11/2/2018 11:00:00 PM ,  201600.000,                        11.060,                         1.601,
11/3/2018 12:00:00 AM ,  205200.000,                        11.054,                         2.251,
11/3/2018 1:00:00 AM  ,  208800.000,                        11.048,                         2.143,
11/3/2018 2:00:00 AM  ,  212400.000,                        11.071,                         0.729,
11/3/2018 3:00:00 AM  ,  216000.000,                        11.079,                         0.511,
11/3/2018 4:00:00 AM  ,  219600.000,                        11.091,                         0.019,
11/3/2018 5:00:00 AM  ,  223200.000,                        11.098,                        -0.036,
11/3/2018 6:00:00 AM  ,  226800.000,                        11.103,                        -0.201,
11/3/2018 7:00:00 AM  ,  230400.000,                        11.125,                        -0.201,
11/3/2018 8:00:00 AM  ,  234000.000,                        11.131,                         0.128,
11/3/2018 9:00:00 AM  ,  237600.000,                        11.138,                         2.305,
11/3/2018 10:00:00 AM ,  241200.000,                        11.144,                         1.655,
11/3/2018 11:00:00 AM ,  244800.000,                        11.142,                         6.586,
11/3/2018 12:00:00 PM ,  248400.000,                        11.152,                         2.468,
11/3/2018 1:00:00 PM  ,  252000.000,                        11.150,                         2.089,
11/3/2018 2:00:00 PM  ,  255600.000,                        11.153,                         0.893,
11/3/2018 3:00:00 PM  ,  259200.000,                        11.157,                         1.111,
11/3/2018 4:00:00 PM  ,  262800.000,                        11.156,                         0.675,
11/3/2018 5:00:00 PM  ,  266400.000,                        11.163,                        -0.860,
11/3/2018 6:00:00 PM  ,  270000.000,                        11.171,                        -0.915,
11/3/2018 7:00:00 PM  ,  273600.000,                        11.176,                        -1.687,
11/3/2018 8:00:00 PM  ,  277200.000,                        11.174,                        -1.742,
