"Plot Title: drycreek101816"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10492130, SEN S/N: 10492130)","Event, units (LGR S/N: 10492130, SEN S/N: 10492130)","Coupler Detached (LGR S/N: 10492130)","End Of File (LGR S/N: 10492130)"
1,10/18/16 11:45:06 AM,17.189,0.00,,
2,10/18/16 11:45:26 AM,,,Logged,
3,10/18/16 11:45:54 AM,,1.00,,
4,10/18/16 11:50:06 AM,16.237,,,
5,10/18/16 11:55:06 AM,15.569,,,
6,10/18/16 12:00:06 PM,15.282,,,
7,10/18/16 12:05:06 PM,14.804,,,
8,10/18/16 12:10:06 PM,13.846,,,
9,10/18/16 12:15:06 PM,12.980,,,
10,10/18/16 12:20:06 PM,12.304,,,
11,10/18/16 12:25:06 PM,11.819,,,
12,10/18/16 12:30:06 PM,11.431,,,
13,10/18/16 12:35:06 PM,11.236,,,
14,10/18/16 12:40:06 PM,11.139,,,
15,10/18/16 12:45:06 PM,10.944,,,
16,10/18/16 12:50:06 PM,11.041,,,
17,10/18/16 12:55:06 PM,11.334,,,
18,10/18/16 01:00:06 PM,11.722,,,
19,10/18/16 01:05:06 PM,12.013,,,
20,10/18/16 01:10:06 PM,12.013,,,
21,10/18/16 01:15:06 PM,11.819,,,
22,10/18/16 01:20:06 PM,11.625,,,
23,10/18/16 01:25:06 PM,11.625,,,
24,10/18/16 01:30:06 PM,11.625,,,
25,10/18/16 01:35:06 PM,12.013,,,
26,10/18/16 01:40:06 PM,12.497,,,
27,10/18/16 01:45:06 PM,12.787,,,
28,10/18/16 01:50:06 PM,12.980,,,
29,10/18/16 01:55:06 PM,13.365,,,
30,10/18/16 02:00:06 PM,13.846,,,
31,10/18/16 02:05:06 PM,14.134,,,
32,10/18/16 02:10:06 PM,14.134,,,
33,10/18/16 02:15:06 PM,14.230,,,
34,10/18/16 02:20:06 PM,14.613,,,
35,10/18/16 02:25:06 PM,14.613,,,
36,10/18/16 02:30:06 PM,14.325,,,
37,10/18/16 02:35:06 PM,13.846,,,
38,10/18/16 02:40:06 PM,13.365,,,
39,10/18/16 02:45:06 PM,12.980,,,
40,10/18/16 02:50:06 PM,12.690,,,
41,10/18/16 02:55:06 PM,12.401,,,
42,10/18/16 03:00:06 PM,12.110,,,
43,10/18/16 03:05:06 PM,11.722,,,
44,10/18/16 03:10:06 PM,11.431,,,
45,10/18/16 03:15:06 PM,11.041,,,
46,10/18/16 03:20:06 PM,10.748,,,
47,10/18/16 03:25:06 PM,10.455,,,
48,10/18/16 03:30:06 PM,10.161,,,
49,10/18/16 03:35:06 PM,9.768,,,
50,10/18/16 03:40:06 PM,9.472,,,
51,10/18/16 03:45:06 PM,9.275,,,
52,10/18/16 03:50:06 PM,9.077,,,
53,10/18/16 03:55:06 PM,8.978,,,
54,10/18/16 04:00:06 PM,8.978,,,
55,10/18/16 04:05:06 PM,8.879,,,
56,10/18/16 04:10:06 PM,8.779,,,
57,10/18/16 04:15:06 PM,8.680,,,
58,10/18/16 04:20:06 PM,8.779,,,
59,10/18/16 04:25:06 PM,8.779,,,
60,10/18/16 04:30:06 PM,8.779,,,
61,10/18/16 04:35:06 PM,8.680,,,
62,10/18/16 04:40:06 PM,8.481,,,
63,10/18/16 04:45:06 PM,8.382,,,
64,10/18/16 04:50:06 PM,8.182,,,
65,10/18/16 04:55:06 PM,8.082,,,
66,10/18/16 05:00:06 PM,7.983,,,
67,10/18/16 05:05:06 PM,7.782,,,
68,10/18/16 05:10:06 PM,7.481,,,
69,10/18/16 05:15:06 PM,7.179,,,
70,10/18/16 05:20:06 PM,6.877,,,
71,10/18/16 05:25:06 PM,6.674,,,
72,10/18/16 05:30:06 PM,6.573,,,
73,10/18/16 05:35:06 PM,6.370,,,
74,10/18/16 05:40:06 PM,6.370,,,
75,10/18/16 05:45:06 PM,6.268,,,
76,10/18/16 05:50:06 PM,5.962,,,
77,10/18/16 05:55:06 PM,5.757,,,
78,10/18/16 06:00:06 PM,5.552,,,
79,10/18/16 06:05:06 PM,5.450,,,
80,10/18/16 06:10:06 PM,5.450,,,
81,10/18/16 06:15:06 PM,5.450,,,
82,10/18/16 06:20:06 PM,5.450,,,
83,10/18/16 06:25:06 PM,5.450,,,
84,10/18/16 06:30:06 PM,5.450,,,
85,10/18/16 06:35:06 PM,5.141,,,
